title,city,country_code,marker_icon,workplace_type,experience_level,latitude,longitude,published_at,remote_interview,display_offer,employment_type,salary_from,salary_to,salary_currency,skills_one,skills_two,skills_three
Młodszy Inżynier Systemów,Gdańsk,PL,other,remote,junior,54.3520252,18.6466384,2023-04-06,FALSE,TRUE,b2b,12800,16000,pln,NGINX,Apache Tomcat,Apache
Remote Mid Kotlin Backend Developer,Poznań,PL,java,remote,mid,52.406374,16.9251681,2023-04-06,FALSE,TRUE,b2b,10000,20000,pln,Spring,Kotlin,Java
IT Analyst,Warszawa,PL,analytics,partly_remote,mid,52.2302035,20.9850475,2023-04-06,TRUE,TRUE,b2b,14999,16800,pln,SQL,Acunetix,Vulnerability scanning tools e.g. Qualys
AWS Devops Engineer- Remote/Wroclaw,Wrocław,PL,devops,remote,junior,51.1171502,17.0225176,2023-04-06,TRUE,TRUE,b2b,7000,9000,pln,Terraform,Docker,AWS
Mid iOS Developer (Swift),Raciąż,PL,mobile,office,mid,52.7815,20.11774,2023-04-06,TRUE,TRUE,permanent,8000,15000,pln,JSON,XML,Swift
Sys Admin - DevOps,Katowice,PL,devops,remote,mid,50.265321,19.004692,2023-04-06,TRUE,TRUE,b2b,11000,16000,pln,Bash,AWS,Linux networking
Java Developer - Live Data Services,Warszawa,PL,java,partly_remote,mid,52.2303362,20.980361,2023-04-06,TRUE,TRUE,permanent,18000,27000,pln,AWS,Kotlin,Java
Remote Senior Java Backend Developer,Warszawa,PL,java,remote,senior,52.1871508,21.046634,2023-04-06,TRUE,TRUE,b2b,22200,30000,pln,Maven,REST,Java
Blockchain Developer,Gdynia,PL,c,partly_remote,mid,54.4917961,18.5341297,2023-04-06,TRUE,TRUE,permanent,12000,24000,pln,Rust,C++,Python
Fullstack (PHP+Angular) Developer,Poznań,PL,php,remote,mid,52.410498,16.9403123,2023-04-06,TRUE,TRUE,permanent,10000,15000,pln,Angular,JavaScript,PHP
Junior Salesforce Developer - Step One,Lublin,PL,other,office,junior,51.2471343,22.5003583,2023-04-06,FALSE,TRUE,permanent,3500,4000,pln,C#,Java,English
Programista C++ w sektorze kosmicznym,Poznań,PL,c,remote,mid,52.4549995,16.9560486,2023-04-06,TRUE,TRUE,b2b,10000,15000,pln,STL,C++17,C++
Młodszy Inżynier Systemów,Kraków,PL,java,remote,junior,50.0646501,19.9449799,2023-04-06,FALSE,TRUE,b2b,12800,16000,pln,NGINX,Apache Tomcat,Apache
Senior Angular Developer,Wrocław,PL,javascript,remote,senior,51.1176663,17.0204951,2023-04-06,TRUE,TRUE,b2b,16800,27720,pln,RxJS,JavaScript,Angular 2+
Software tester,Poznań,PL,testing,partly_remote,mid,52.4044062,16.9302032,2023-04-06,TRUE,TRUE,b2b,9000,13000,pln,Bitbucket,shiny,R
Regular / Senior Data Scientist,Warszawa,PL,data,remote,mid,52.2177616,21.0157913,2023-04-06,TRUE,TRUE,b2b,20000,28500,pln,Statistics,Machine Learning,Python
Senior PHP Symfony Developer,Warszawa,PL,php,remote,senior,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,15000,22000,pln,JavaScript,Symfony,PHP
Tester Oprogramowania (Software Tester),Warszawa,PL,testing,partly_remote,junior,52.1359408,21.0271201,2023-04-06,TRUE,TRUE,b2b,6000,10000,pln,Testing,Manual Testing,JIRA
Cloud Compliance Consultant,Warszawa,PL,security,remote,mid,52.2318957,21.0019662,2023-04-06,FALSE,TRUE,permanent,14000,22000,pln,CSA,NIST,Cybersecurity
Senior Data Engineer,Warszawa,PL,data,partly_remote,senior,52.2301084,21.0026871,2023-04-06,TRUE,TRUE,b2b,20000,25500,pln,ETL,Data Warehousing,SQL
Data Engineer with Hadoop,Wrocław,PL,data,remote,mid,51.1011989,17.0410141,2023-04-06,TRUE,TRUE,b2b,21840,30240,pln,Spark,Hadoop,English
BI Developer (Qlik Sense),Warszawa,PL,devops,remote,mid,52.2302091,21.0113922,2023-04-06,FALSE,TRUE,b2b,13000,19000,pln,SQL,Qlik Sense,QlikView
Młodszy Programista C#/SQL,Wrocław,PL,net,remote,junior,51.1229858,16.9908809,2023-04-06,TRUE,TRUE,b2b,7500,8800,pln,.Net,SQL,C#
Java/PostgreSQL jr. fullstack developer,Wrocław,PL,java,partly_remote,junior,51.1082396,17.0331047,2023-04-06,FALSE,TRUE,permanent,5000,6500,pln,SQL,PostgreSQL,Java
Data Engineer,Warszawa,PL,data,remote,senior,52.1782186,21.018226,2023-04-06,TRUE,TRUE,b2b,20160,30240,pln,Spark,Data Integration,Python
Principal Engineer,Kraków,PL,javascript,partly_remote,senior,50.0698993,19.9372753,2023-04-06,TRUE,TRUE,permanent,25000,33000,pln,backbone.js,JavaScript,React
Senior Java Developer,Warszawa,PL,java,partly_remote,senior,52.2426018,21.0150499,2023-04-06,TRUE,TRUE,permanent,18000,23000,pln,Kubernetes,Docker,Java
Java Developer (FinTech),Warszawa,PL,java,remote,mid,52.2302091,21.0113922,2023-04-06,FALSE,TRUE,b2b,15000,21500,pln,Hibernate,Spring,Java
Java/PostgreSQL  fullstack developer,Wrocław,PL,java,partly_remote,mid,51.1082396,17.0331047,2023-04-06,FALSE,TRUE,b2b,12500,14500,pln,SQL,PostgreSQL,Java
Junior IT Specialist,Wrocław,PL,admin,office,junior,51.1113813,17.0256784,2023-04-06,TRUE,TRUE,b2b,5000,8000,pln,Windows Server,WAN,LAN
IT Specialist,Wrocław,PL,admin,office,mid,51.1113813,17.0256784,2023-04-06,TRUE,TRUE,b2b,8000,13000,pln,AD,WAN,LAN
BI Developer (Tableau),Warszawa,PL,devops,remote,mid,52.2302091,21.0113922,2023-04-06,FALSE,TRUE,b2b,13650,19500,pln,Salesforce,SQL,Tableau
Devops Engineer,Warszawa,PL,devops,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,TRUE,permanent,18800,23500,pln,Python,AWS,Kubernetes
